key,name,code,website,airlineType,foundationMoment,email,phoneNumber,draftMode
airline-18,Lorem ipsum dolor sit ame,AAJ,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890,true
airline-19,Lorem ipsum dolor sit ame,AAK,http://lorem.com/ipsum,LUXURY,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567890,true
# foundation-moment variation
airline-20,Lorem ipsum dolor sit ame,AAL,http://lorem.com/ipsum,STANDARD,2000/01/01 0:00,acme@lorem-ipsum.org,+1234567890,true
airline-21,Lorem ipsum dolor sit ame,AAM,http://lorem.com/ipsum,STANDARD,2000/01/01 0:01,acme@lorem-ipsum.org,+1234567890,true
airline-22,Lorem ipsum dolor sit ame,AAN,http://lorem.com/ipsum,STANDARD,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567890,true
airline-23,Lorem ipsum dolor sit ame,AAO,http://lorem.com/ipsum,STANDARD,2024/12/31 23:59,acme@lorem-ipsum.org,+1234567890,true
airline-24,Lorem ipsum dolor sit ame,AAP,http://lorem.com/ipsum,STANDARD,2025/01/01 0:00,acme@lorem-ipsum.org,+1234567890,true
# email variation
airline-25,Lorem ipsum dolor sit ame,AAQ,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme_password@lorem-ipsum.org,+1234567890,true
airline-26,Lorem ipsum dolor sit ame,AAR,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.e,+1234567890,true
airline-27,Lorem ipsum dolor sit ame,AAS,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.es,+1234567890,true
airline-28,Lorem ipsum dolor sit ame,AAT,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,a@b.esx,+1234567890,true
# phone-number
airline-29,Lorem ipsum dolor sit ame,ABA,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+123456,true
airline-30,Lorem ipsum dolor sit ame,ABB,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+1234567,true
airline-31,Lorem ipsum dolor sit ame,ABC,http://lorem.com/ipsum,STANDARD,2002/09/01 10:00,acme@lorem-ipsum.org,+123456789012345,true
# draftMode
airline-32,SkyHigh Airlines 1,HJA,https://www.skyhigh.com,LUXURY,2002/09/01 10:00,contact@skyhigh.com,+1234567890,false
airline-33,SkyHigh Airlines 2,OIP,https://www.skyhigh.com,LUXURY,2002/09/01 10:00,contact@skyhigh.com,+1234567890,false
airline-34,SkyHigh Airlines 3,JUY,https://www.skyhigh.com,LUXURY,2002/09/01 10:00,contact@skyhigh.com,+1234567890,false
airline-35,SkyHigh Airlines4,IYN,https://www.skyhigh.com,LUXURY,2002/09/01 10:00,contact@skyhigh.com,+1234567890,false
